,Shipment_ID,Week,Warehouse_ID,Store_ID,Carrier,Product_Category,Weight_kg,Delivery_Time_hrs,Fuel_Price_EUR_per_litre,Temperature_C,Promo_Flag,On_Time_Flag,Weekly_Sales_EUR,Notes,Dispatch_Time,Planned_Arrival_Time,Actual_Arrival_Time
17,SH00017,2024-03-24,B,S03,C2,Frozen,14.25,40.1,1.64,4.3,1,0,26744.42,No issue,,,
18,SH00018,2024-03-24,A,S03,C3,Grocery,24.41,33.7,1.76,5.6,0,1,66427.1,Damaged carton,,,
19,SH00019,2024-04-28,D,S06,C1,Clothing,9.84,27.5,1.64,3.9,1,0,64314.73,Driver delay,,,
20,SH00020,2024-03-10,A,S01,C2,Grocery,18.15,23.2,1.66,4.1,0,0,53770.24,No issue,,,
21,SH00021,2024-04-21,A,S07,C1,Electronics,8.17,25.0,1.6949999999999998,6.3,0,1,20506.43,Partial delivery,,,
22,SH00022,2024-04-14,A,S12,C1,Grocery,18.14,26.0,1.72,4.9,0,0,26150.45,No issue,,,
23,SH00023,2024-04-14,C,S01,C4,Grocery,15.015,24.4,1.82,4.9,0,0,55599.03,Partial delivery,,,
24,SH00024,2024-05-12,C###,S05_err,C1,Grocery,13.12,27.2,1.78,1.6,1,0,48508.12,No issue,,,
25,SH00025,2024-03-24,B,S10,C2,Electronics,18.66,35.5,1.58,5.2,1,0,62909.95,No issue,,,
26,SH00026,2024-05-19,B,S08,C2,Grocery,12.19,25.0,1.69,1.1,0,0,50976.76,No issue,,,
27,SH00027,2024-01-21,D,S04,C2,Clothing,6.43,25.6,1.8,6.8,0,0,49672.29,No issue,,,
28,SH00028,2024-02-04,B,S05,C4,Electronics,19.57,30.3,1.58,2.4,0,0,15605.24,No issue,,,
29,SH00029,2024-05-12,A,S04,C1,Grocery,8.12,27.1,1.74,1.5,1,0,64336.48,No issue,,,
30,SH00030,2024-02-18,A,S12,C3,Clothing,18.1,21.4,1.7,4.3,1,0,42262.81,No issue,,,
31,SH00031,2024-03-03,C,S12,C4,Grocery,20.84,27.7,1.52,8.4,0,0,46026.91,No issue,,,
32,SH00032,2024-02-18,A,S04,C3,Electronics,12.75,27.5,1.71,6.4,0,0,35953.31,No issue,,,
33,SH00033,2024-05-05,D,S12,C4,Clothing,22.09,32.9,1.62,1.2,0,0,28893.83,No issue,,,
34,SH00034,2024-01-28,A,S08,C1,Grocery,17.89,23.1,1.58,2.3,0,0,74082.07,Driver delay,,,
35,SH00035,2024-04-07,A,S02,C2,Grocery,10.82,40.1,1.7,4.2,0,0,63932.32,No issue,,,
36,SH00036,2024-05-05,D,S01,C1,Grocery,23.41,27.5,1.51,9.5,0,0,64179.93,Driver delay,,,
37,SH00037,2024-03-03,B,S03,C3,Frozen,8.15,22.5,1.63,3.1,0,0,48752.34,Damaged carton,,,
38,SH00038,2024-01-14,B,S09,C4,Electronics,12.74,21.5,1.96,3.1,0,1,25931.16,No issue,,,
39,SH00039,2024-05-19,D,S04,C1,Clothing,13.76,37.7,1.77,8.1,1,1,83530.67,No issue,,,
40,SH00040,2024-04-14,C,S10,C3,Electronics,18.63,27.2,1.61,4.9,0,0,58334.37,Partial delivery,,,
41,SH00041,2024-02-18,A,S05,C1,Grocery,21.69,32.7,1.84,7.1,0,0,54051.84,Damaged carton,,,
42,SH00042,2024-03-24,D,S02,C3,Electronics,21.32,19.5,1.6,3.5,0,0,46613.0,Damaged carton,,,
43,SH00043,2024-02-25,A,S04,C2,Clothing,15.015,27.7,1.64,4.8,0,1,21331.66,Damaged carton,,,
44,SH00044,2024-04-14,C,S02,C4,Grocery,13.32,32.5,1.59,4.9,0,0,69123.38,No issue,,,
45,SH00045,2024-01-21,A,S02,C3,Grocery,4.04,26.7,1.73,4.7,0,0,36134.45,Driver delay,,,
46,SH00046,2024-04-07,D,S04,C2,Grocery,15.06,26.5,1.84,7.2,0,0,60198.54,Damaged carton,,,
47,SH00047,2024-04-28,A,S06,C1,Electronics,25.6,31.7,1.6,5.8,0,0,63562.51,No issue,,,
48,SH00048,2024-01-28,B,S07,C1,Frozen,3.98,31.4,1.49,2.9,0,1,57012.36,No issue,,,
49,SH00049,2024-05-05,C,S10,C1,Grocery,10.29,28.9,1.81,5.0,0,0,59049.6,Partial delivery,,,
50,SH00050,2024-02-25,C,S03,C1,Electronics,21.87,27.7,1.86,7.0,0,0,72191.8,No issue,,,
51,SH00051,2024-01-28,C,S03,C4,Grocery,16.26,30.8,1.5,6.3,0,0,40113.77,Partial delivery,,,
52,SH00052,2024-01-14,D,S10,C3,Frozen,20.57,19.3,1.75,4.9,0,0,54467.54,No issue,,,
53,SH00053,2024-02-11,C,S06,C2,Grocery,18.26,40.1,1.72,1.2,0,0,48623.42,No issue,,,
54,SH00054,2024-03-10,B,S12,C1,Electronics,23.82,19.8,1.6949999999999998,1.4,0,0,24406.52,No issue,,,
55,SH00055,2024-01-28,D,S03,C4,Clothing,16.77,31.0,1.56,1.8,0,0,56295.0,Partial delivery,,,
56,SH00056,2024-05-05,B,S02,C3,Clothing,15.015,24.6,1.8,4.0,1,0,70768.76,No issue,,,
57,SH00057,2024-03-24,A,S08,C1,Electronics,10.65,40.1,1.72,4.2,0,0,72645.01,Damaged carton,,,
58,SH00058,2024-01-14,A,S05,C3,Grocery,18.52,24.0,1.73,4.9,0,0,79862.16,No issue,,,
59,SH00059,2024-03-10,A,S01,C2,Grocery,12.62,28.7,1.64,7.0,0,0,25394.21,Driver delay,,,
60,SH00060,2024-01-28,A,S03,C1,Grocery,12.28,27.0,1.62,2.5,0,0,76429.42,Damaged carton,,,
61,SH00061,2024-04-07,B,S10,C2,Grocery,15.015,22.1,1.6949999999999998,2.3,0,0,54772.6,Damaged carton,,,
62,SH00062,2024-04-21,D,S08,C2,Electronics,20.41,19.5,1.68,5.2,0,0,76008.44,No issue,,,
63,SH00063,2024-04-14,D,S04,C1,Grocery,25.13,28.4,1.84,6.9,0,0,46078.26,No issue,,,
64,SH00064,2024-02-25,C,S07,C4,Grocery,24.74,25.1,1.61,9.1,1,0,44037.99,No issue,,,
65,SH00065,2024-04-07,B,S10,C4,Clothing,20.5,26.7,1.55,6.2,0,0,33770.91,No issue,,,
66,SH00066,2024-02-25,A,S12,C3,Frozen,14.25,27.2,1.74,8.2,0,0,63639.66,No issue,,,
67,SH00067,2024-04-21,B,S02,C2,Electronics,25.97,30.2,1.76,4.9,1,0,59717.14,No issue,,,
68,SH00068,2024-03-31,C,S07,C2,Grocery,20.51,32.2,1.64,9.3,0,0,35244.86,No issue,,,
69,SH00069,2024-05-05,C,S05,C3,Grocery,10.4,28.7,1.67,1.3,0,1,19537.95,Partial delivery,,,
70,SH00070,2024-04-14,B,S05,C2,Frozen,19.37,26.4,1.73,4.0,0,0,58228.68,No issue,,,
71,SH00071,2024-03-31,B,S06,C1,Grocery,8.78,28.1,1.68,6.1,0,1,59937.56,No issue,,,
72,SH00072,2024-03-03,B,S09,C2,Grocery,18.71,26.3,1.8,1.8,0,0,37195.73,No issue,,,
73,SH00073,2024-04-14,D,S06,C4,Electronics,7.1,19.8,1.94,3.1,0,0,34182.57,No issue,,,
74,SH00074,2024-03-31,A,S12,C2,Electronics,10.15,33.5,1.53,2.8,0,0,61838.02,No issue,,,
75,SH00075,2024-01-07,B,S08,C1,Electronics,19.26,32.5,1.6949999999999998,4.4,0,0,79845.91,No issue,,,
76,SH00076,2024-02-18,B,S07,C3,Grocery,15.06,27.7,1.71,7.8,1,0,44575.15,Partial delivery,,,
77,SH00077,2024-03-03,B,S09,C1,Grocery,16.95,39.4,1.84,5.0,0,0,38805.42,Driver delay,,,
78,SH00078,2024-01-07,C,S04,C1,Frozen,13.28,22.1,1.77,4.1,0,0,56482.88,No issue,,,
79,SH00079,2024-03-24,C,S02,C1,Grocery,2.31,26.3,1.71,-0.8,1,0,61528.8,No issue,,,
80,SH00080,2024-02-25,D,S07,C2,Clothing,13.75,40.1,1.78,5.9,0,0,46535.65,Damaged carton,,,
81,SH00081,2024-03-17,A,S06,C3,Clothing,18.2,27.8,1.66,6.6,0,0,82376.37,No issue,,,
82,SH00082,2024-05-12,D,S01,C2,Electronics,13.1,29.2,1.62,1.6,0,0,65525.28,Damaged carton,,,
83,SH00083,2024-04-28,A,S11,C1,Grocery,14.86,20.4,1.6949999999999998,4.9,0,0,46280.94,Partial delivery,,,
84,SH00084,2024-02-25,C,S09,C4,Grocery,13.89,28.8,1.62,5.4,0,0,28112.76,No issue,,,
85,SH00085,2024-01-21,C,S09,C4,Electronics,13.07,27.7,1.76,4.9,0,0,71791.33,Damaged carton,,,
86,SH00086,2024-01-21,C,S12,C4,Frozen,15.46,27.7,1.7,4.9,1,0,69878.97,Partial delivery,,,
87,SH00087,2024-01-07,D,S02,C1,Frozen,13.36,25.0,1.47,3.2,1,0,47458.71,No issue,,,
88,SH00088,2024-02-04,B,S03,C2,Grocery,23.66,26.0,1.64,4.1,1,0,57258.63,Partial delivery,,,
89,SH00089,2024-03-10,B,S05,C4,Grocery,1.76,40.1,1.73,7.6,1,0,49742.95,No issue,,,
90,SH00090,2024-02-18,C,S05,C3,Frozen,11.72,23.7,1.66,7.1,0,0,59808.98,No issue,,,
91,SH00091,2024-03-03,B,S01,C1,Clothing,9.78,18.4,1.45,5.0,0,1,36625.76,No issue,,,
92,SH00092,2024-02-18,B,S08,C1,Frozen,16.31,27.6,1.83,7.0,1,0,34487.21,Partial delivery,,,
93,SH00093,2024-03-03,D,S12,C2,Grocery,15.46,35.6,1.72,0.3,0,0,64162.96,No issue,,,
94,SH00094,2024-02-25,A_err,S08###,C4,Electronics,24.73,29.8,1.74,6.6,1,0,66064.22,No issue,,,
95,SH00095,2024-03-24,C,S04,C2,Clothing,26.71,34.8,1.65,2.8,0,0,44638.12,Damaged carton,,,
96,SH00096,2024-01-14,C,S07,C2,Clothing,10.36,33.4,1.75,8.5,0,0,40763.18,No issue,,,
97,SH00097,2024-01-07,D,S11,C1,Electronics,15.0,25.3,1.88,2.9,0,0,69213.5,No issue,,,
98,SH00098,2024-04-21,D,S10,C3,Grocery,16.18,40.1,1.63,3.3,1,0,41271.06,No issue,,,
99,SH00099,2024-02-04,B,S03,C4,Electronics,10.21,24.4,1.87,6.1,0,1,52831.17,No issue,,,
100,SH00100,2024-01-21,C,S06,C2,Grocery,18.77,19.4,1.6949999999999998,4.9,0,0,50928.78,Partial delivery,,,
101,SH00101,2024-03-24,A,S10,C3,Electronics,14.86,27.7,1.61,4.1,0,0,29996.41,No issue,,,
102,SH00102,2024-02-25,D,S10,C4,Frozen,8.59,16.1,1.92,5.7,0,0,54881.71,No issue,,,
103,SH00103,2024-01-21,A,S12,C1,Grocery,13.32,31.0,1.74,6.0,0,0,53416.1,No issue,,,
104,SH00104,2024-01-07,A,S09,C2,Clothing,9.01,28.4,1.77,5.8,0,0,57402.87,No issue,,,
105,SH00105,2024-01-21,C,S01,C1,Grocery,21.22,30.4,1.67,4.9,0,0,54373.46,Damaged carton,,,
106,SH00106,2024-02-04,C,S05,C3,Clothing,15.015,33.3,1.62,6.0,0,0,84035.31,No issue,,,
107,SH00107,2024-04-14,D,S04,C3,Frozen,16.47,29.0,1.72,7.8,0,0,69425.17,Partial delivery,,,
108,SH00108,2024-04-07,C,S08,C3,Grocery,15.015,36.2,1.86,2.5,0,0,52582.14,No issue,,,
109,SH00109,2024-01-21,C,S11,C3,Grocery,15.91,31.1,1.67,4.9,0,0,53953.59,No issue,,,
110,SH00110,2024-01-07,C,S12,C2,Electronics,22.09,24.2,1.7,5.1,0,0,78454.29,Driver delay,,,
111,SH00111,2024-02-04,A,S01,C4,Grocery,21.96,26.8,1.85,2.9,1,1,64946.32,No issue,,,
112,SH00112,2024-04-07,D,S09,C2,Clothing,14.31,16.7,1.67,1.4,0,0,33564.96,No issue,,,
113,SH00113,2024-02-18,B,S06,C1,Frozen,16.52,23.5,1.75,7.2,0,0,66234.22,No issue,,,
114,SH00114,2024-03-03,A,S04,C3,Electronics,18.92,26.1,1.79,0.5,0,0,70642.02,No issue,,,
115,SH00115,2024-04-14,C,S12,C3,Grocery,8.17,30.7,1.68,4.9,0,0,76265.76,No issue,,,
116,SH00116,2024-04-14,A,S09,C2,Electronics,22.28,24.2,1.73,4.9,0,0,45977.62,Damaged carton,,,
117,SH00117,2024-03-10,C,S11,C4,Clothing,25.41,21.8,1.77,5.5,0,1,44883.24,Damaged carton,,,
118,SH00118,2024-03-31,C,S05,C4,Grocery,21.99,18.6,1.6949999999999998,4.2,0,0,37872.77,No issue,,,
119,SH00119,2024-05-12,A,S05,C1,Electronics,7.53,25.0,1.78,2.8,0,1,56621.91,No issue,,,
120,SH00120,2024-02-18,D,S12,C4,Electronics,3.18,27.7,1.65,5.7,0,0,62993.01,Driver delay,,,
121,SH00121,2024-04-28,C,S05,C1,Electronics,19.25,29.4,1.63,3.0,0,0,44300.06,No issue,,,
122,SH00122,2024-05-19,D,S01,C1,Grocery,10.44,32.7,1.55,5.5,0,0,49872.77,Driver delay,,,
123,SH00123,2024-01-28,B,S01,C1,Clothing,16.72,23.5,1.65,5.3,0,0,21194.23,No issue,,,
124,SH00124,2024-02-04,C,S08,C4,Grocery,24.21,20.1,1.62,5.3,0,0,74641.74,No issue,,,
125,SH00125,2024-02-18,D_err,S12###,C3,Grocery,11.06,21.9,1.66,3.7,1,0,28525.35,No issue,,,
126,SH00126,2024-03-31,D,S08,C1,Frozen,12.73,27.5,1.76,4.9,0,0,57621.7,No issue,,,
127,SH00127,2024-04-14,B,S12,C2,Clothing,16.66,18.0,1.53,5.7,0,1,55573.82,Partial delivery,,,
128,SH00128,2024-03-17,D,S06,C3,Grocery,15.015,23.0,1.5,4.4,0,0,52687.12,Partial delivery,,,
129,SH00129,2024-01-28,D,S12,C1,Grocery,10.45,25.1,1.63,5.5,1,0,53031.95,Driver delay,,,
130,SH00130,2024-03-31,B,S11,C4,Grocery,15.15,21.4,1.75,3.5,0,0,36823.28,Partial delivery,,,
131,SH00131,2024-02-18,C,S04,C4,Grocery,13.2,27.7,1.73,4.2,0,0,47079.02,No issue,,,
132,SH00132,2024-05-12,D,S02,C2,Grocery,18.65,29.4,1.62,9.8,0,0,66534.26,No issue,,,
133,SH00133,2024-01-14,D,S02,C4,Grocery,31.6,28.2,1.82,4.9,1,1,70977.33,Partial delivery,,,
134,SH00134,2024-03-10,D,S09,C2,Electronics,15.59,31.9,1.63,4.8,1,0,45686.49,No issue,,,
135,SH00135,2024-03-31,A,S05,C4,Clothing,9.95,22.4,1.75,4.1,1,0,28593.71,No issue,,,
136,SH00136,2024-02-11,B,S04,C3,Electronics,14.86,27.7,1.6949999999999998,2.9,0,0,40319.89,No issue,,,
137,SH00137,2024-03-24,A,S10,C3,Clothing,15.015,40.1,1.61,5.8,0,0,79790.46,No issue,,,
138,SH00138,2024-03-24,B,S01,C1,Grocery,6.67,27.7,1.64,5.1,0,0,41212.83,No issue,,,
139,SH00139,2024-05-19,C,S07,C4,Frozen,11.43,25.0,1.77,6.8,0,0,50541.94,No issue,,,
140,SH00140,2024-03-17,C,S03,C2,Clothing,13.3,28.7,1.74,6.6,1,0,73238.69,No issue,,,
141,SH00141,2024-02-18,D,S06,C1,Clothing,11.29,24.7,1.8,6.8,0,0,44096.56,No issue,,,
142,SH00142,2024-01-07,B,S05,C1,Clothing,14.81,23.9,1.74,3.2,0,0,49516.97,No issue,,,
143,SH00143,2024-01-07,C,S05,C3,Frozen,16.65,31.4,1.54,6.3,0,0,63917.47,Driver delay,,,
144,SH00144,2024-05-19,B,S11,C2,Electronics,21.41,27.3,1.91,6.3,0,0,77677.1,No issue,,,
145,SH00145,2024-03-31,C,S05,C3,Grocery,15.55,27.7,1.74,3.0,0,0,42316.72,No issue,,,
146,SH00146,2024-03-03,A,S01,C4,Electronics,11.63,25.8,1.75,4.4,0,0,72881.43,No issue,,,
147,SH00147,2024-01-21,C,S01,C1,Clothing,21.09,26.3,1.66,4.9,0,0,47777.07,No issue,,,
148,SH00148,2024-02-18,A,S03,C3,Clothing,10.09,25.2,1.81,6.3,0,0,38711.07,Driver delay,,,
149,SH00149,2024-02-11,C,S12,C1,Electronics,5.2,22.4,1.59,6.3,0,0,55743.35,No issue,,,
150,SH00150,2024-02-25,D,S10,C4,Grocery,22.24,32.1,1.76,7.9,0,0,34636.48,No issue,,,
151,SH00151,2024-03-03,A,S04,C4,Grocery,21.85,27.7,1.49,4.5,0,0,59080.17,No issue,,,
152,SH00152,2024-02-04,C,S05,C2,Frozen,10.25,26.1,1.77,5.9,0,0,99244.72,No issue,,,
153,SH00153,2024-01-07,D,S02,C3,Electronics,12.61,24.6,1.59,7.0,0,0,68584.01,No issue,,,
154,SH00154,2024-05-12,A,S08,C2,Electronics,14.86,24.3,1.73,3.5,0,0,50426.51,No issue,,,
155,SH00155,2024-03-10,D,S11,C2,Grocery,16.96,24.6,1.84,3.2,0,0,67783.03,Partial delivery,,,
156,SH00156,2024-03-24,B,S11,C4,Grocery,25.39,27.7,1.78,3.6,0,1,38027.17,Damaged carton,,,
157,SH00157,2024-04-14,B,S02,C2,Frozen,19.22,24.4,1.82,4.3,1,0,40544.88,Driver delay,,,
158,SH00158,2024-03-03,A,S09,C2,Clothing,21.21,40.1,1.81,3.3,1,0,50842.53,No issue,,,
159,SH00159,2024-05-19,C,S02,C2,Clothing,19.92,21.8,1.65,3.6,1,0,53316.72,No issue,,,
160,SH00160,2024-04-28,A,S09,C4,Electronics,15.0,29.5,1.76,6.8,0,0,32600.46,No issue,,,
161,SH00161,2024-04-28,D,S07,C2,Electronics,21.5,27.7,1.53,4.8,1,0,47402.84,No issue,,,
162,SH00162,2024-05-19,C,S08,C1,Grocery,19.47,22.3,1.63,5.6,1,1,49831.17,Partial delivery,,,
163,SH00163,2024-03-24,B,S11,C3,Clothing,23.64,23.5,1.84,3.9,1,0,75129.59,No issue,,,
164,SH00164,2024-02-18,C,S02,C4,Electronics,12.24,27.7,1.66,3.8,0,1,32599.82,No issue,,,
165,SH00165,2024-01-14,B,S07,C1,Electronics,4.57,28.2,1.51,5.6,0,0,31209.27,Partial delivery,,,
166,SH00166,2024-01-21,C,S12,C1,Electronics,21.27,28.5,1.9,4.9,1,0,54635.63,No issue,,,
167,SH00167,2024-04-28,C,S06,C1,Frozen,17.1,28.5,1.76,6.6,0,0,69263.15,No issue,,,
168,SH00168,2024-02-04,C,S04,C2,Grocery,13.22,35.0,1.78,7.6,0,0,60273.9,No issue,,,
169,SH00169,2024-04-28,D,S07,C2,Clothing,13.56,22.8,1.6,3.6,1,0,56540.15,No issue,,,
170,SH00170,2024-04-28,D-X,S04-X,C3,Grocery,30.33,26.0,1.73,6.7,0,0,47670.88,No issue,,,
171,SH00171,2024-04-28,A,S02,C3,Electronics,11.15,27.2,1.73,2.8,0,0,62141.57,No issue,,,
172,SH00172,2024-01-14,A,S10,C3,Grocery,15.06,19.4,1.62,4.9,0,0,64403.34,Damaged carton,,,
173,SH00173,2024-01-14,B,S12,C2,Grocery,15.015,23.4,1.68,3.4,1,0,48140.34,Driver delay,,,
174,SH00174,2024-02-04,D,S07,C4,Electronics,15.015,27.7,1.6949999999999998,6.4,0,0,37770.63,Damaged carton,,,
175,SH00175,2024-01-07,B,S08,C2,Grocery,28.67,31.8,1.67,2.8,0,0,37868.17,Damaged carton,,,
176,SH00176,2024-01-07,A,S02,C4,Electronics,18.94,32.7,1.8,4.7,0,0,65181.01,No issue,,,
177,SH00177,2024-05-12,B,S05,C3,Frozen,14.25,25.1,1.63,8.1,0,0,28835.9,Damaged carton,,,
178,SH00178,2024-01-14,A,S01,C1,Grocery,26.83,25.7,1.89,4.9,0,0,77155.89,Partial delivery,,,
179,SH00179,2024-03-24,D,S07,C3,Clothing,14.88,19.1,1.56,9.4,1,1,45158.11,No issue,,,
180,SH00180,2024-02-11,C,S08,C2,Electronics,9.97,32.7,1.67,5.0,1,0,56642.98,No issue,,,
181,SH00181,2024-01-28,D,S06,C3,Clothing,8.52,33.5,1.63,7.0,0,0,62525.65,Partial delivery,,,
182,SH00182,2024-03-17,B,S05,C1,Grocery,15.015,33.4,1.6949999999999998,4.9,0,0,41744.71,Damaged carton,,,
183,SH00183,2024-04-28,B,S06,C1,Grocery,16.43,36.0,1.84,5.9,0,1,45101.53,No issue,,,
184,SH00184,2024-02-11,D,S02,C4,Grocery,17.07,30.1,1.6,2.1,0,0,53979.55,Partial delivery,,,
185,SH00185,2024-02-04,D,S01,C1,Grocery,22.72,35.8,1.65,4.1,0,0,39194.19,No issue,,,
186,SH00186,2024-05-19,A,S07,C4,Grocery,10.19,40.1,1.77,7.4,1,0,35985.37,No issue,,,
187,SH00187,2024-01-14,B,S07,C1,Clothing,23.2,19.2,1.71,4.3,1,0,37333.27,Partial delivery,,,
188,SH00188,2024-02-11,B,S10,C3,Frozen,11.89,32.3,1.72,5.3,0,0,70137.19,No issue,,,
189,SH00189,2024-03-17,D,S11,C3,Clothing,27.98,40.1,1.6,1.9,0,0,57968.87,No issue,,,
190,SH00190,2024-04-21,C,S10,C2,Clothing,18.59,28.9,1.69,3.9,0,0,40102.49,Partial delivery,,,
191,SH00191,2024-04-21,B,S02,C2,Grocery,15.06,32.8,1.81,4.9,0,1,65091.39,No issue,,,
192,SH00192,2024-01-07,C,S02,C1,Grocery,2.85,40.1,1.54,2.4,0,0,40933.67,No issue,,,
193,SH00193,2024-03-03,D,S01,C1,Grocery,19.85,39.4,1.63,6.4,1,0,22743.82,No issue,,,
194,SH00194,2024-02-11,D,S10,C2,Grocery,12.75,18.2,1.52,5.4,1,0,62452.13,Partial delivery,,,
195,SH00195,2024-04-21,A,S08,C3,Electronics,14.07,27.7,1.75,4.5,0,0,76693.46,Partial delivery,,,
196,SH00196,2024-01-21,B,S08,C4,Electronics,19.6,28.1,1.82,4.4,1,0,60370.6,Driver delay,,,
197,SH00197,2024-05-19,C,S01,C4,Grocery,21.06,21.3,1.68,4.0,0,0,23689.95,No issue,,,
198,SH00198,2024-01-28,A,S12,C3,Grocery,22.34,22.2,1.6,4.2,0,0,51646.67,No issue,,,
199,SH00199,2024-05-12,B,S11,C3,Clothing,14.265,23.8,1.6,6.9,0,0,47881.33,No issue,INVALID_DATE,INVALID_DATE,INVALID_DATE
200,SH00200,2024-01-21,A,S08,C3,Clothing,23.56,22.5,1.67,4.1,0,0,57673.18,Damaged carton,,,
201,SH00201,2024-05-12,D,S09,C1,Grocery,11.53,27.5,1.67,8.6,1,1,39290.96,No issue,,,
202,SH00202,2024-05-19,B,S04,C4,Frozen,1.46,25.0,1.79,5.6,0,0,46997.84,No issue,,,
203,SH00203,2024-02-18,A,S01,C3,Frozen,7.93,27.7,1.63,3.8,0,0,30698.76,No issue,,,
204,SH00204,2024-05-19,A,S01,C3,Grocery,16.31,31.2,1.74,6.9,0,0,55326.56,No issue,,,
205,SH00205,2024-03-03,C,S03,C1,Grocery,9.13,30.9,1.67,6.2,0,0,31256.56,Partial delivery,,,
206,SH00206,2024-01-07,A,S05,C2,Electronics,14.47,25.9,1.63,1.7,0,0,58561.37,Partial delivery,,,
207,SH00207,2024-02-25,B,S05,C2,Frozen,17.03,29.4,1.67,2.9,0,0,40741.79,Partial delivery,,,
208,SH00208,2024-02-18,B,S09,C4,Frozen,13.91,33.2,1.73,4.8,0,0,4878.78,No issue,,,
209,SH00209,2024-05-05,C,S10,C2,Grocery,12.03,27.7,1.79,1.8,0,0,63906.37,Damaged carton,,,
210,SH00210,2024-02-25,B,S12,C2,Grocery,15.06,27.7,1.67,9.2,0,0,59410.6,No issue,,,
211,SH00211,2024-01-07,D,S02,C4,Electronics,15.13,27.7,1.58,6.6,0,0,72294.13,No issue,,,
212,SH00212,2024-03-17,B,S02,C1,Electronics,2.61,36.6,1.8,4.9,0,0,20648.22,Partial delivery,,,
213,SH00213,2024-05-05,B,S06,C2,Grocery,10.88,16.1,1.61,4.3,0,0,42181.76,Partial delivery,,,
214,SH00214,2024-03-10,A,S09,C1,Frozen,9.43,28.5,1.73,3.8,1,1,53973.89,Damaged carton,,,
215,SH00215,2024-01-21,A,S01,C3,Clothing,13.56,26.4,1.7,1.1,0,0,60575.59,Partial delivery,,,
216,SH00216,2024-02-18,B###,S09-X,C4,Clothing,13.72,27.4,1.68,1.5,0,0,30056.74,Partial delivery,,,
217,SH00217,2024-04-21,C,S09,C1,Frozen,20.76,24.0,1.65,8.8,0,1,58471.9,No issue,,,
218,SH00218,2024-04-21,A,S09,C4,Clothing,24.5,30.0,1.76,8.1,0,0,43423.35,Partial delivery,,,
219,SH00219,2024-05-19,C,S05,C1,Electronics,8.29,19.0,1.34,3.8,0,0,24173.82,Driver delay,,,
220,SH00220,2024-04-28,B,S09,C4,Electronics,26.96,30.0,1.81,6.8,0,0,40739.79,No issue,,,
221,SH00221,2024-01-14,B,S11,C3,Grocery,10.32,27.7,1.61,6.0,0,0,59715.66,Partial delivery,,,
222,SH00222,2024-01-07,D,S04,C4,Clothing,16.04,25.5,1.74,6.2,0,0,24800.53,No issue,,,
223,SH00223,2024-04-21,A,S02,C1,Grocery,18.07,30.2,1.74,2.1,0,1,61555.78,No issue,,,
224,SH00224,2024-03-24,B,S06,C4,Clothing,29.67,28.4,1.83,1.4,0,0,56250.67,Driver delay,,,
225,SH00225,2024-02-04,D,S04,C3,Grocery,11.75,33.3,1.72,7.4,0,0,48192.11,Driver delay,,,
