Ticket_ID,Order_ID,Customer_ID,Reported_Time,Issue_Type,Channel,Region,Customer_Segment,Priority,Agent_ID,Team,Backlog_At_Report,First_Response_Time,Resolution_Time,Response_Minutes,Resolution_Minutes,Handle_Minutes,Escalation_Flag,First_Contact_Resolution_Flag,Outcome,Repeat_Contact_Flag,Sentiment_Score,Customer_Effort_Score,CSAT_Score
TCK-WDVPI70E,ORD-IMULP3GZL8,C-8LVDOWW,2025-10-02 19:36:00,Late status update,Chat,DE-North,B2C,Medium,AG-129,Service-L1,18,2025-10-02 19:45:00,2025-10-02 21:14:00,9,98,34,0,1,Resolved,0,0.312,3,4
TCK-NZJ9PAD0,ORD-5WF5ZENYAB,C-M59L625,2025-10-02 21:00:00,Damaged item,Phone,DE-South,Enterprise,Low,AG-123,Service-L1,20,2025-10-02 21:12:00,2025-10-02 23:38:00,12,158,102,1,0,Resolved,0,-0.361,4,3
TCK-I99ZGGFM,ORD-0CTYBP2UQ5,C-VMO746U,2025-10-03 01:37:00,Delivery instruction,Phone,DE-East,B2C,Medium,AG-126,Service-L1,13,2025-10-03 01:43:00,2025-10-03 03:20:00,6,103,83,0,1,Resolved,0,-0.021,3,3
TCK-ZYHBXZA4,ORD-6NSX7XS1RB,C-TOMOHL0,2025-10-03 13:54:00,Address change,Email,DE-West,Enterprise,Low,AG-104,TechSupport,16,2025-10-03 14:00:00,2025-10-03 15:37:00,6,103,49,0,1,Resolved,0,-0.166,3,3
TCK-PAWRI12Q,ORD-GRDEPDPSBW,C-C01SBSN,2025-10-03 14:05:00,Damaged item,Web form,DE-North,B2C,Medium,AG-126,Service-L1,13,2025-10-03 14:25:00,2025-10-03 15:23:00,20,78,45,0,1,Resolved,0,-0.433,3,3
TCK-I9VOTRKP,ORD-P66KQH8ERA,C-QQAFRRK,2025-10-03 15:09:00,Delivery instruction,Chat,DE-West,B2C,Low,AG-103,Service-L1,16,2025-10-03 15:49:00,2025-10-03 16:58:00,40,109,36,0,1,Resolved,0,0.207,3,4
TCK-2EK4YDY2,ORD-OFXLEFOENT,C-TO2DL75,2025-10-03 16:07:00,Wrong item,Email,CH,Enterprise,Medium,AG-144,TechSupport,14,2025-10-03 16:43:00,2025-10-03 19:17:00,36,190,112,0,1,Resolved,0,0.239,3,4
TCK-PX36FKPU,ORD-MHDLQ86598,C-W3CYVKU,2025-10-03 19:49:00,Late status update,Chat,AT,SMB,High,AG-111,Service-L1,12,2025-10-03 20:03:00,2025-10-03 21:29:00,14,100,44,1,0,Resolved,0,0.003,4,3
TCK-77QU5JJD,ORD-S1FP9RN46N,C-EW07XLS,2025-10-03 22:45:00,Return request,Web form,DE-North,B2C,Low,AG-153,Service-L2,17,2025-10-03 23:00:00,2025-10-04 00:35:00,15,110,68,0,1,Resolved,0,0.237,3,4
TCK-XEGJTZ8I,ORD-D4V7ZENHQK,C-56G98N5,2025-10-04 02:18:00,Product info,Web form,DE-West,B2C,Low,AG-133,Returns,18,2025-10-04 02:54:00,2025-10-04 04:00:00,36,102,42,0,1,Resolved,0,-0.448,3,3
TCK-8JGJ97MR,ORD-326NIS7W5H,C-S7U23PY,2025-10-04 09:07:00,Late status update,Chat,DE-East,SMB,Medium,AG-136,Returns,17,2025-10-04 09:14:00,2025-10-04 10:51:00,7,104,55,0,1,Resolved,0,-0.004,3,3
TCK-D6AUJYW0,ORD-39EIR7OHSL,C-C3Q4DME,2025-10-04 09:52:00,Late status update,Email,CH,B2C,Low,AG-115,Service-L1,22,2025-10-04 10:14:00,2025-10-04 12:10:00,22,138,69,0,1,Resolved,0,-0.113,3,3
TCK-65AF63K2,ORD-UIYOF4ZIPY,C-NJS8DJR,2025-10-04 10:23:00,Wrong item,Email,DE-West,B2C,Medium,AG-110,Service-L2,16,2025-10-04 10:40:00,2025-10-04 13:10:00,17,167,112,0,0,Resolved,0,0.893,3,4
TCK-9F2V50D1,ORD-ZB7KQSTUC4,C-SDSGPZ1,2025-10-04 14:11:00,Billing dispute,Phone,DE-East,B2C,Medium,AG-116,Returns,13,2025-10-04 14:19:00,2025-10-04 20:27:00,8,376,298,1,0,Resolved,0,0.019,5,3
TCK-XQXGAMUG,ORD-TLJ0M00NB4,C-TUYT6A8,2025-10-04 15:09:00,Damaged item,Chat,DE-West,B2C,Medium,AG-116,Service-L2,18,2025-10-04 15:31:00,2025-10-04 16:31:00,22,82,39,0,1,Resolved,0,-0.208,3,3
TCK-TOGE62AL,ORD-RRN6MT7XRL,C-NV2JNNN,2025-10-04 15:28:00,Billing dispute,Email,DE-East,B2C,Low,AG-129,Billing,14,2025-10-04 16:08:00,2025-10-04 18:01:00,40,153,94,0,0,Resolved,0,1.0,3,4
TCK-DCNRJYHL,ORD-RZ1NQ77WDQ,C-WKB96EQ,2025-10-04 15:30:00,Delivery instruction,WhatsApp,DE-South,B2C,Low,AG-151,Service-L1,16,2025-10-04 16:08:00,2025-10-04 18:02:00,38,152,93,0,1,Resolved,0,-0.485,3,3
TCK-TL0W6VGG,ORD-Z3CPKQ5U01,C-JWNRTYG,2025-10-04 17:17:00,Billing dispute,Email,CH,B2C,Low,AG-112,Returns,23,2025-10-04 19:16:00,2025-10-04 20:49:00,119,212,76,0,1,Resolved,1,-0.225,5,2
TCK-G1YEU54N,ORD-NTP9469D8N,C-JVOH9GD,2025-10-04 18:09:00,Return request,Chat,DE-North,B2C,Low,AG-135,Service-L1,16,2025-10-04 18:28:00,2025-10-04 21:11:00,19,182,127,0,0,Partially resolved,1,0.497,4,3
TCK-UM3T1GXV,ORD-Q13EKMHCKH,C-ZQELQNG,2025-10-04 20:01:00,Address change,Email,DE-North,B2C,Low,AG-146,Service-L1,19,2025-10-04 20:37:00,2025-10-04 22:47:00,36,166,45,0,1,Resolved,1,-0.012,4,3
TCK-TV1GM329,ORD-EHD00X2SU7,C-XXVR1UE,2025-10-04 20:46:00,Wrong item,Web form,DE-North,B2C,Low,AG-102,Service-L2,12,2025-10-04 21:05:00,2025-10-05 00:18:00,19,212,79,1,1,Resolved,0,-0.454,4,3
TCK-LF1QUY1J,ORD-N7TKWJ1B3U,C-M7JICT1,2025-10-05 01:03:00,Billing dispute,Email,DE-West,B2C,Medium,AG-129,Service-L2,18,2025-10-05 01:18:00,2025-10-05 03:42:00,15,159,102,1,0,Unresolved,0,-0.628,4,2
TCK-ZNUNJF1P,ORD-F5FIFU1B7Z,C-3PPDJ5K,2025-10-05 01:33:00,Late status update,Phone,DE-South,B2C,Medium,AG-153,Returns,16,2025-10-05 01:48:00,2025-10-05 03:56:00,15,143,71,0,0,Resolved,0,-0.313,3,3
TCK-6TJL3FYA,ORD-GC3FICJ0Z6,C-8T7D7PG,2025-10-05 05:24:00,Wrong item,Email,DE-North,SMB,Low,AG-103,Service-L2,16,2025-10-05 05:54:00,2025-10-05 08:29:00,30,185,82,0,1,Resolved,0,0.292,3,4
TCK-ANSW7XXM,ORD-2E5RQYT9EC,C-VII9TKN,2025-10-05 07:16:00,Late status update,Web form,DE-East,SMB,Low,AG-152,Returns,18,2025-10-05 07:29:00,2025-10-05 09:57:00,13,161,115,1,0,Partially resolved,0,0.579,4,3
TCK-Y6RN9C4Y,ORD-UQ1600BLE8,C-6FVUBO0,2025-10-05 16:03:00,Return request,Email,CH,B2C,Medium,AG-130,Service-L2,22,2025-10-05 16:50:00,2025-10-05 18:56:00,47,173,64,0,1,Resolved,0,-0.165,3,3
TCK-O8O42VIK,ORD-ROXSLV9HMA,C-DBP4Z84,2025-10-05 17:56:00,Wrong item,Chat,DE-South,Enterprise,High,AG-115,Service-L1,20,2025-10-05 18:11:00,2025-10-05 20:34:00,15,158,114,1,1,Resolved,1,-0.774,5,2
TCK-MDDT55G0,ORD-3R4GMS0QK5,C-OPIRZNX,2025-10-05 18:32:00,Billing dispute,Email,DE-South,B2C,Low,AG-146,TechSupport,24,2025-10-05 18:53:00,2025-10-05 20:59:00,21,147,91,0,1,Resolved,0,0.567,3,4
TCK-GFK74L46,ORD-PG1NE6POVJ,C-AONAN1L,2025-10-05 23:15:00,Product info,WhatsApp,DE-North,B2C,Medium,AG-116,TechSupport,17,2025-10-05 23:33:00,2025-10-06 01:02:00,18,107,57,0,1,Resolved,0,-0.187,3,3
TCK-3XK0G2V1,ORD-W9ZQVUKL23,C-8YSOZX7,2025-10-05 23:42:00,Billing dispute,Phone,CH,B2C,Medium,AG-141,Billing,19,2025-10-05 23:58:00,2025-10-06 01:15:00,16,93,56,0,0,Resolved,0,-0.477,3,3
TCK-8KML0R2A,ORD-EHNON8PU8X,C-V3MB8TU,2025-10-05 23:46:00,Account access,Email,DE-North,SMB,Medium,AG-151,Returns,10,2025-10-06 00:23:00,2025-10-06 02:15:00,37,149,68,0,1,Resolved,0,-0.019,3,3
TCK-3H73IA53,ORD-D11W39L47L,C-YY4UJJT,2025-10-06 01:58:00,Address change,Chat,DE-West,B2C,Low,AG-116,TechSupport,16,2025-10-06 02:33:00,2025-10-06 04:36:00,35,158,91,1,0,Partially resolved,0,-0.584,4,2
TCK-25A7BXC1,ORD-PE4I6NUQ1M,C-SIMDJKY,2025-10-06 03:53:00,Return request,Phone,DE-North,B2C,Low,AG-154,Service-L1,18,2025-10-06 04:02:00,2025-10-06 05:36:00,9,103,49,0,1,Resolved,0,0.22,3,4
TCK-OCML9RNI,ORD-IMEA5QQUKG,C-CKL0T7M,2025-10-06 05:03:00,Billing dispute,Phone,DE-North,SMB,High,AG-150,Service-L1,11,2025-10-06 05:10:00,2025-10-06 06:11:00,7,68,27,0,0,Partially resolved,0,-0.289,3,3
TCK-ZYA4BIKR,ORD-DPFMME2BH6,C-O8LSSO9,2025-10-06 08:05:00,Delivery instruction,Chat,DE-East,SMB,Medium,AG-148,Service-L2,21,2025-10-06 08:17:00,2025-10-06 09:40:00,12,95,30,0,0,Resolved,1,0.106,4,3
TCK-U77NY0XA,ORD-Y1GDCTD4O9,C-0PGPV56,2025-10-06 09:33:00,Product info,Phone,DE-East,Enterprise,Low,AG-124,Billing,17,2025-10-06 09:59:00,2025-10-06 11:45:00,26,132,69,0,1,Resolved,1,0.478,4,3
TCK-44Q086XW,ORD-MYFQDDYPH8,C-KTRG916,2025-10-06 09:57:00,Delivery instruction,Chat,DE-West,B2C,Medium,AG-143,Billing,19,2025-10-06 10:14:00,2025-10-06 11:12:00,17,75,23,0,1,Resolved,0,0.413,3,4
TCK-JNUIZXD7,ORD-CZMFC92Q28,C-7TJS90Y,2025-10-06 10:42:00,Missing item,WhatsApp,DE-North,B2C,Medium,AG-116,Service-L1,18,2025-10-06 11:18:00,2025-10-06 13:48:00,36,186,70,0,1,Resolved,0,-0.077,3,3
TCK-QUSMD01P,ORD-13Y38B7Q10,C-DVD0MNJ,2025-10-06 11:00:00,Damaged item,Web form,DE-East,B2C,Low,AG-125,Service-L2,13,2025-10-06 11:17:00,2025-10-06 12:59:00,17,119,65,0,0,Resolved,1,-0.069,4,3
TCK-SRYK6WC3,ORD-5KZ45C4I2Y,C-Q6298U0,2025-10-06 11:24:00,Return request,Phone,DE-South,B2C,Low,AG-105,Service-L1,22,2025-10-06 11:31:00,2025-10-06 13:41:00,7,137,92,0,0,Resolved,1,0.109,4,3
TCK-ER2BNZPG,ORD-C1STY1ON7C,C-1QTJ7KL,2025-10-06 13:53:00,Wrong item,Phone,CH,SMB,High,AG-123,Service-L2,17,2025-10-06 13:59:00,2025-10-06 19:36:00,6,343,308,0,0,Resolved,0,-0.22,4,3
TCK-FOGQF05L,ORD-C8DX1R6FZ6,C-64PS4NJ,2025-10-06 16:19:00,Late status update,Email,DE-North,B2C,Medium,AG-135,Service-L1,17,2025-10-06 16:42:00,2025-10-06 18:04:00,23,105,42,0,0,Unresolved,1,-0.204,4,3
TCK-DBU5Q86C,ORD-VOE8JUX8YO,C-QF89HBJ,2025-10-06 16:21:00,Return request,WhatsApp,DE-South,B2C,Low,AG-125,Service-L2,14,2025-10-06 16:46:00,2025-10-06 19:30:00,25,189,95,0,1,Resolved,0,0.754,3,4
TCK-NIHE426B,ORD-YLXTL8A04S,C-V9IW0NZ,2025-10-06 16:25:00,Damaged item,Email,DE-West,B2C,Medium,AG-134,Service-L1,18,2025-10-06 16:53:00,2025-10-06 18:24:00,28,119,44,0,0,Resolved,0,0.226,3,4
TCK-1JFSP76I,ORD-UOBP6KVZC7,C-DKZANER,2025-10-06 19:59:00,Delivery instruction,Phone,DE-West,B2C,Low,AG-111,Service-L1,15,2025-10-06 20:12:00,2025-10-06 22:19:00,13,140,103,0,1,Resolved,1,-0.145,4,3
TCK-HLHWU018,ORD-SWTRMLLSQT,C-Y9U9LVU,2025-10-06 22:57:00,Wrong item,Email,DE-South,B2C,Medium,AG-103,Service-L1,17,2025-10-06 23:34:00,2025-10-07 00:58:00,37,121,49,0,1,Resolved,0,0.215,3,4
TCK-6OW51I72,ORD-9013JXN4ET,C-M3M445F,2025-10-06 23:06:00,Late status update,Web form,DE-West,B2C,Medium,AG-135,Service-L2,14,2025-10-06 23:47:00,2025-10-07 00:44:00,41,98,39,0,1,Resolved,0,0.363,3,4
TCK-F99X5JPD,ORD-Q9ZQLHPKRU,C-OVORR46,2025-10-06 23:16:00,Address change,Email,DE-South,B2C,Medium,AG-122,Service-L1,18,2025-10-07 00:00:00,2025-10-07 01:16:00,44,120,27,0,0,Partially resolved,1,-0.099,4,3
TCK-Z3QN1X9J,ORD-8R5XU4CKR3,C-G2DMQZS,2025-10-07 04:30:00,Wrong item,Phone,DE-North,B2C,Low,AG-142,TechSupport,24,2025-10-07 04:36:00,2025-10-07 06:01:00,6,91,33,0,0,Resolved,1,0.29,4,3
TCK-EJ748RRC,ORD-PU9CXB8HYW,C-HQPGOCZ,2025-10-07 04:37:00,Missing item,WhatsApp,DE-South,B2C,High,AG-125,Returns,23,2025-10-07 04:54:00,2025-10-07 07:49:00,17,192,111,1,0,Resolved,1,-0.61,5,2
TCK-J7Q0CQLH,ORD-XNE9RGAXSA,C-Q0TIRVX,2025-10-07 06:51:00,Delivery instruction,Chat,AT,B2C,Low,AG-120,Service-L2,18,2025-10-07 07:20:00,2025-10-07 08:23:00,29,92,42,0,1,Resolved,0,-0.187,3,3
TCK-FYNSINMN,ORD-AHUCGZJLI4,C-DW4HP2W,2025-10-07 10:18:00,Late status update,WhatsApp,DE-South,B2C,Low,AG-125,Service-L1,14,2025-10-07 10:28:00,2025-10-07 11:24:00,10,66,44,0,1,Resolved,0,-0.157,3,3
TCK-UZEIE8FE,ORD-SU5CIGVQO5,C-X48J7OB,2025-10-07 11:34:00,Missing item,Phone,DE-West,B2C,High,AG-103,Billing,21,2025-10-07 11:51:00,2025-10-07 14:58:00,17,204,155,1,0,Resolved,1,-0.187,5,2
TCK-FF9XD51V,ORD-8TFADQT4CC,C-DN72BVG,2025-10-07 15:12:00,Damaged item,WhatsApp,AT,SMB,Low,AG-120,Service-L1,22,2025-10-07 15:45:00,2025-10-07 18:21:00,33,189,87,0,0,Resolved,0,0.057,3,4
TCK-SDUTZSX3,ORD-SO8HYO1E9M,C-CJOAPPZ,2025-10-07 16:47:00,Damaged item,Phone,DE-South,B2C,Critical,AG-140,Service-L2,13,2025-10-07 17:02:00,2025-10-07 18:17:00,15,90,51,0,0,Partially resolved,0,-0.65,3,3
TCK-FG5Q2HQI,ORD-2VONHHYLDN,C-Q9NO8ZQ,2025-10-07 19:58:00,Billing dispute,Web form,CH,SMB,Medium,AG-114,Service-L1,22,2025-10-07 20:07:00,2025-10-07 22:11:00,9,133,77,0,1,Resolved,0,-0.027,3,3
TCK-0GTSYF89,ORD-U2G6T15N7H,C-AS668S7,2025-10-08 02:03:00,Account access,Email,DE-East,B2C,Critical,AG-141,Service-L2,24,2025-10-08 02:29:00,2025-10-08 06:17:00,26,254,160,0,1,Resolved,0,-0.084,3,3
TCK-8KUETNOC,ORD-E3MIGKIBXM,C-FZDJ4EP,2025-10-08 03:12:00,Damaged item,Chat,CH,B2C,Medium,AG-145,Service-L1,19,2025-10-08 03:41:00,2025-10-08 05:45:00,29,153,55,0,1,Resolved,0,0.277,3,4
TCK-YO3ELX8W,ORD-Y1O70MO3MG,C-5TSY6EM,2025-10-08 08:01:00,Delivery instruction,Chat,DE-West,Enterprise,Medium,AG-133,TechSupport,21,2025-10-08 08:12:00,2025-10-08 09:38:00,11,97,79,0,1,Resolved,0,-0.289,3,3
TCK-FGKUCLFT,ORD-H3CM04O75U,C-LGYCXIG,2025-10-08 13:27:00,Late status update,Email,CH,B2C,High,AG-121,Service-L1,14,2025-10-08 13:44:00,2025-10-08 15:48:00,17,141,44,0,1,Resolved,0,0.084,3,4
TCK-DD1UBYZR,ORD-BYPV935FMS,C-A9JJLJ4,2025-10-08 13:40:00,Billing dispute,WhatsApp,DE-South,SMB,Medium,AG-120,Service-L1,15,2025-10-08 13:57:00,2025-10-08 16:26:00,17,166,107,0,0,Resolved,0,-0.13,3,3
TCK-63Y0IQ38,ORD-7FYTOGEQRJ,C-NT1VF5N,2025-10-08 16:21:00,Wrong item,WhatsApp,DE-North,B2C,Low,AG-154,Service-L1,15,2025-10-08 16:42:00,2025-10-08 18:55:00,21,154,112,0,1,Resolved,0,0.614,3,4
TCK-AK1YDQRF,ORD-ELO8L6AQFC,C-KZVK0Z5,2025-10-08 20:06:00,Missing item,Email,DE-North,B2C,Low,AG-127,Service-L2,19,2025-10-08 20:32:00,2025-10-08 23:11:00,26,185,72,1,1,Resolved,0,-0.141,4,3
TCK-WIB74L63,ORD-KV8R8IOZHL,C-5R2IGMG,2025-10-08 21:26:00,Address change,Web form,DE-North,Enterprise,Low,AG-141,Service-L1,17,2025-10-08 22:07:00,2025-10-08 23:30:00,41,124,45,0,1,Resolved,0,-0.442,3,3
TCK-Q3MLS05M,ORD-YO51TNJ52K,C-DH8B3TT,2025-10-08 23:10:00,Late status update,Web form,DE-North,B2C,Low,AG-103,TechSupport,18,2025-10-09 00:13:00,2025-10-09 01:24:00,63,134,35,0,1,Resolved,1,0.715,4,4
TCK-992JYR7Q,ORD-MAQTLDRCGP,C-MSTNEAU,2025-10-09 07:26:00,Missing item,Web form,DE-South,B2C,Medium,AG-102,Service-L1,21,2025-10-09 07:50:00,2025-10-09 11:38:00,24,252,192,1,0,Resolved,0,-0.249,4,3
TCK-DEFGGXM6,ORD-IIGFYUJ3YP,C-VXPDN8N,2025-10-09 15:05:00,Return request,Phone,DE-East,B2C,High,AG-121,Service-L1,24,2025-10-09 15:16:00,2025-10-09 17:17:00,11,132,109,0,1,Resolved,0,-0.214,3,3
TCK-0A33QEXH,ORD-PD9TMD044D,C-NK1FV91,2025-10-10 03:41:00,Missing item,Email,DE-South,SMB,Medium,AG-112,Billing,21,2025-10-10 03:51:00,2025-10-10 05:26:00,10,105,54,0,0,Resolved,0,-0.252,3,3
TCK-N9XBECUL,ORD-JQC64UPLVM,C-9803CEM,2025-10-10 03:50:00,Wrong item,Phone,DE-West,SMB,Medium,AG-139,Returns,13,2025-10-10 04:11:00,2025-10-10 05:11:00,21,81,45,0,0,Resolved,0,0.146,3,4
TCK-YWGAYVKH,ORD-46IVULBLXV,C-SEHLON6,2025-10-10 05:01:00,Return request,Chat,DE-South,B2C,Low,AG-140,Returns,14,2025-10-10 05:10:00,2025-10-10 06:26:00,9,85,45,0,0,Resolved,0,0.329,3,4
TCK-QBLRAPEJ,ORD-56EVRBKTPU,C-CWWGU76,2025-10-10 05:56:00,Address change,Email,DE-South,SMB,Medium,AG-121,Returns,25,2025-10-10 06:28:00,2025-10-10 09:24:00,32,208,37,0,0,Resolved,0,0.514,3,4
TCK-5NA8IJAD,ORD-ZUSIK8N95E,C-4AZ3ZT3,2025-10-10 05:58:00,Late status update,Chat,DE-West,B2C,Medium,AG-122,Service-L2,15,2025-10-10 06:18:00,2025-10-10 08:02:00,20,124,65,0,1,Resolved,0,-0.591,3,3
TCK-FUAAFXW9,ORD-XSA8R4B4RH,C-OCUHZGY,2025-10-10 07:15:00,Late status update,Phone,DE-South,B2C,Medium,AG-113,Service-L2,17,2025-10-10 07:42:00,2025-10-10 09:33:00,27,138,93,0,0,Partially resolved,0,-0.227,3,3
TCK-2AGCUE2Q,ORD-268GN2L7MW,C-J0KP03F,2025-10-10 12:53:00,Billing dispute,Web form,AT,B2C,Low,AG-106,Service-L1,16,2025-10-10 13:19:00,2025-10-10 15:27:00,26,154,91,0,1,Resolved,0,-0.174,3,3
TCK-LAXYX23W,ORD-3E8XDGXL7K,C-RS7K60U,2025-10-10 15:37:00,Delivery instruction,Phone,DE-North,B2C,Medium,AG-107,Service-L1,16,2025-10-10 16:10:00,2025-10-10 17:32:00,33,115,44,0,0,Resolved,1,-0.258,4,3
TCK-AS3HO9QT,ORD-V4Q6ZOWKBR,C-BK48HFM,2025-10-10 17:49:00,Billing dispute,Phone,DE-North,B2C,High,AG-103,Service-L1,14,2025-10-10 17:59:00,2025-10-10 20:28:00,10,159,120,0,1,Resolved,0,0.083,3,4
TCK-7L45RFD5,ORD-ERTEQFTSNH,C-OHEI5S6,2025-10-10 18:37:00,Account access,Chat,DE-East,B2C,Low,AG-140,Returns,20,2025-10-10 18:53:00,2025-10-10 22:04:00,16,207,138,0,1,Resolved,1,-0.713,4,2
TCK-G9T6RLXZ,ORD-QJPZIFRXCJ,C-8J1LDR5,2025-10-10 23:25:00,Wrong item,Web form,DE-North,SMB,Medium,AG-151,Service-L1,14,2025-10-10 23:45:00,2025-10-11 01:03:00,20,98,55,0,1,Resolved,0,-0.046,3,3
TCK-AZ8FPVY1,ORD-L1M2SU6GRM,C-C2HFE2Z,2025-10-11 04:02:00,Delivery instruction,Email,AT,Enterprise,Low,AG-104,Service-L1,21,2025-10-11 05:30:00,2025-10-11 08:05:00,88,243,109,0,1,Resolved,0,-0.849,4,2
TCK-ILIKIMVU,ORD-0KAULHO8VZ,C-BTZ51B9,2025-10-11 05:36:00,Address change,Phone,DE-South,B2C,Critical,AG-117,Billing,20,2025-10-11 06:11:00,2025-10-11 07:33:00,35,117,45,0,1,Resolved,0,-0.101,3,3
TCK-Q8NLE72S,ORD-04YDX5RPXG,C-IY9EXSB,2025-10-11 09:50:00,Address change,Web form,CH,B2C,Medium,AG-116,Service-L1,21,2025-10-11 10:15:00,2025-10-11 12:33:00,25,163,80,0,1,Resolved,1,0.43,4,3
TCK-I9IO23W0,ORD-BD92BBI7HY,C-7W7JFA1,2025-10-11 11:15:00,Wrong item,Phone,DE-South,B2C,High,AG-129,Service-L1,13,2025-10-11 11:27:00,2025-10-11 15:23:00,12,248,168,1,1,Resolved,0,0.627,4,4
TCK-J7BOPY29,ORD-LDHAJW6DJ6,C-VOCCHWC,2025-10-11 12:09:00,Delivery instruction,Email,DE-North,B2C,Low,AG-125,Service-L1,16,2025-10-11 12:32:00,2025-10-11 14:17:00,23,128,44,0,1,Resolved,0,-0.034,3,3
TCK-ZXWSQ7NF,ORD-8169PFRRN2,C-J8HK3I0,2025-10-11 13:13:00,Late status update,WhatsApp,DE-North,SMB,High,AG-147,Service-L1,22,2025-10-11 13:15:00,2025-10-11 14:53:00,2,100,23,0,1,Resolved,0,0.601,3,4
TCK-XD6AIOHD,ORD-Y9MJYIOYPF,C-CT97DSR,2025-10-11 14:35:00,Damaged item,WhatsApp,DE-South,B2C,Low,AG-105,Returns,21,2025-10-11 14:59:00,2025-10-11 17:01:00,24,146,88,0,1,Resolved,0,0.314,3,4
TCK-SYTLAZFV,ORD-S0E905GZNZ,C-ZO8PQZF,2025-10-11 20:10:00,Address change,Phone,DE-South,B2C,Low,AG-111,Service-L1,17,2025-10-11 20:23:00,2025-10-11 22:35:00,13,145,88,0,1,Resolved,0,0.292,3,4
TCK-D4MHX4GH,ORD-SHS9APHFV8,C-QUZ48LG,2025-10-11 21:37:00,Damaged item,Chat,DE-North,B2C,Critical,AG-120,Service-L1,17,2025-10-11 21:48:00,2025-10-11 23:31:00,11,114,62,1,1,Resolved,1,-0.349,5,2
